Word	Cluster	Jaccard BNC-Genome	Genome neighbors	BNC_normalized neighbors
abdomen	0	0.0	abdomen back_hoof zebra_legs white_feet black_mane black_hoof zebra_mane cow_ear long_tail dark_eye hind hip hindquarters white_head hoove	problem matters faith rural fertile impact suburbia industries etc launched said take in literature potential
accent	6	0.0	accent check_mark diamonds velcro white_word white_laces shapes love white_stripes black_jersey shoelaces shoe_strings dowel nike_logo plantain	system actually remains distinction facts cost neighbourhoods surprisingly case division era whether upon depends sharp
ad	17	0.0	ad u ads green_awning advertisement lcd metro dinning_table tinted_windows lower_level window_bus electric_sign score notice sponsors	debates dominant with find royal form treatment background david should some important of instance none
address	17	0.0	address here 11 details building_window not date short_pants info yellow_letter lcd 100 browser website lobby	disruptive locally more produced provide topic changes medium local circulation us professionals expert cast immigrants
adult	1	0.0	adult mother mom child dad father skier female adults lady man's_back male boy person woman	lend dominant observed larger should 1979 science social special economic right journal use disseminate with
air	1	0.0	air ceiling_beam flying_kite sea_shore purple_tie softball an_umbrella chair_lift whistle trick boy's_hair para_sail soccer luggage_carrier freesbee	impact matters faith way launched pieces both latter was competition research suburbia run literature so
aircraft	13	0.0	aircraft airplane jet aeroplane airliner plane airplanes flight helicopter tar fighter sleeveless_shirt fighter_jet windsock baggage_cart	should literature right use alternative social scotland in benefit royal development ideology against matters economic
airplane	13	0.0	airplane plane jet aircraft aeroplane airplanes airliner jets helicopter planes fighter_jet air_plane airport fighter wing	before find with instance treatment referents dominant none concerned david important some royal form background
airport	13	0.0	airport aeroplane runway plane's_tail contrail luggage_carrier jetway hangar airfield smoke_trail plantation playing_field prairie subway plane	services end see work goliath can this rat lies perhaps opinion authors life criterion found
alley	5	0.0	alley alleyway land_mass parking_garage double_door cemetery sign_holder passage paved_road sockets gutters spot_light figures plaza construction_crane	policed forum so again mentioned probably important royal debating competition sites occupational anchored denied explain
anchor	9	0.0	anchor rigging stern hull terraces turret exhaust_pipes smokestack identification_number boat_reflection balance cabins mast buoy porthole	can work services royal launched perhaps see possibility knowledge this found motivations goliath medium immigrants
angel	17	0.0	angel red_bull angels fireplace_mantle violin date_stamp yellow_wall tick_mark window_shade roman_numberal colgate shield ac traffic_cone pendulum	concerned find with referents instance treatment dominant before supersaturation close however institutions none non-technical peak
animal	0	0.0	animal giraffe zebra cow animals sheep goat deer antelope bear horse lamb polar_bear adult_zebra bull	dominant with of should royal find background treatment right or sea form 1979 social ideology
ankle	1	0.0	ankle anklet ankle_strap tan_shirt left_arm dreadlocks left_wrist kneecap right_knee snow_shoes white_teeth left_shoulder left_shoe thigh loops	kin stand 385 residents logically phase wide-ranging unemployment masters arrived along promote david springing traditional
antenna	17	0.0	antenna chimneys antennae satellite nokia sports propeller_blade antennas points number_key rear_view_mirror botton brakelight lightning_rod chimney	supporting question claims whom particular there doing most microelectronics early engendered well-known priorities a at
apartment	5	0.0	apartment hill_side mountain_peak farmhouse store_sign basement cottage white_bus telephone_wire street_line arrow_sign traincar attic corridor fire_escape	origins instances terms this crichton motivations count competition expanding are processes effectiveness was concerning said
apple	4	0.0	apple orange banana fruit pear apples oranges lemon grapefruit bananas cherries watermelon pomegranate plum bagels	close dominant background find institutions with larger treatment however should none referents royal david important
appliance	10	0.0	appliance cooktop rice_cooker electricity green_bananas duct detergent wooden_slat collared_shirt food_prep_item food_processor kitchen_appliance food_items toaster wok	newby dominant with of royal form should treatment explain background find anchored aspects tel some
apron	1	0.0	apron khakis cardigan blue_scarf brown_pants blue_jean fanny_pack jean safety_helmet blue_sweater shoulder_bag red_vest grey_hair sweat_pants crossed_arms	logically have air-traffic south taking springing stand masters kin traditional administrative 385 choose arrived conditions
arch	17	0.0	arch archways archway belfry small_windows bells arches ac many_windows opening eaves green_roof american_flags pillar pillars	anchored royal explain they authors papers take there launched servants debating students about assumption again
area	11	0.0	area field distance trough pasture yard large_body hill clumps mound expanse patch woods grass ground	research encourage pieces common way which its impact was vital informed sane aspects public big
arm	1	0.0	arm left_arm right_arm elbow arms wrist hand leg head right_leg left_shoe foot shoulder scarf kneepad	wide-ranging stand arrived talking phase thought unemployment central industrial 385 promote prevailing masters myth definable
armband	8	0.0	armband man's_wrist white_band braclet grey_shorts cast arm_band man_shirt watchband light_skinned black_jeans bangle wrist_band silver_watch bracelets	characterise system yet choose sorts term referents entire gives institutions consider opportunities immigration it logically
armchair	12	0.0	armchair sofa blue_curtain couches rocking_chair couch recliner pillow_cover woman's_leg brown_chair dining_chair window_blind carpeted_floor arm_chair red_chair	must origins none instances think important david effectiveness terms research always along dichotomous acquainted said
armrest	6	0.0	armrest arm_rest armrests rest back_rest backrest arm_rests bench_leg bench_slat wooden_slat head_rest blob chair_arm seat_lid headrest	money wish appeared where centralisation dispersal room same held accept base so focussing total among
arrow	16	0.0	arrow black_arrow white_arrow arrows p street_name l letter letter_u one_way g 7 hours bus_number letter_v	treatment with royal important find none policed companies anchored dominant some explain however background david
art	12	0.0	art crown_molding vcr ac u wood_trim wreath valance mantel cooking_utensils smoke_alarm framed_print bird_decal wall_hanging wall_tile	observed given we journal economic merely social oil during like special use benefit consensus today
artwork	12	0.0	artwork crown_molding photographs certificate framed_mirror conditioner mural presentation stamen sockets framed_print bird_decal wall_hanging wall_tile white_shelf	hamlets industries become equally about run take books final fieldwork approaches literature there paper papers
ashtray	12	0.0	ashtray beaker bedcover white_lamp black_straps champagne_flute black_remote metal_legs plate_stack sweet juice_box tape_dispenser tumbler cigarette_pack two_plates	none important treatment policed companies find royal background must with david anchored some own however
asparagus	7	0.0	asparagus potatoe turnips spinach_leaves bell_peppers flatware guacamole chinese_food meats meat_piece yellow_pepper sprouts food_piece bread_slice lemon_slice	saw permanent niceties welcome everyone had great jobs urban north activated negotiation progress others who
asphalt	18	0.0	asphalt blacktop pitch road_side black_asphalt pavement beetle race_track parking_spot parking_lot road dashes skaters airstrip tennis_court	good dominant should larger rural listen background with business development royal 1979 benefit right literature
athlete	8	0.0	athlete ball_player player racers baseball_batter baseball_player skier tennis_player football_player she he human male batter skiier	referents find instance with dominant institutions concerned remains treatment system before close background royal form
audience	8	0.0	audience fans spectators spectator viewers crowd person_sitting viewer empty_seat basketball_goal people_watching day_time green_seat poncho seats	royal anchored launched there servants locals they explain boot or knowledge of this take its
awning	5	0.0	awning canopy eaves overhang yellow_awning awnings third_floor roof arch arches building_sign store_sign dormer mini_blinds balcony	own explain anchored however important policed treatment status background incomers application royal papers concentrates added
baby	15	0.0	baby child toddler girl boy doll kid teddy_bear woman bear infant baby_lamb hand animal babies	era distinction sharp anthony actually case extensive commercial predominantly how migration at unskilled mcfarlane owned
back	17	0.0	back front rear_end backside armrest backs side_view side arm_rest four_legs bottom underbelly part back_window rest	produced provide circulation disruptive more us view changes support professionals locally defend collar things topic
background	11	0.0	background distance dark_background park mountain hill forrest field island land_mass wood_slat hillside airport city zoo	postgraduate aspects alternative take vital big in its are useful series tel when assuming most
backpack	1	0.0	backpack duffel_bag handbag purse messenger_bag back_pack shoulder_bag black_backpack suitcase jacket luggage brown_jacket snow_pants sweater bag	middle-aged promote effectiveness taking does interaction explicit redundant be 385 masters that along attributes pilot
bacon	7	0.0	bacon onions herbs ham onion guacamole crouton green_lettuce cheese red_peppers tomato_slice sesame_seeds seasonings pepper red_tomatoes	problems who aim seen everyone had welcome jobs others activities urban activated encouraged niceties permanent
badge	1	0.0	badge medal nametag 25 17 name_tag corsage 19 30 suspenders team_name medals id 22 yellow_stripe	neighbourhoods cost commercial davids few vested doing high-density division number most production there well-known enquiries
bag	6	0.0	bag purse black_bag suitcase luggage handbag backpack trash_bag basket garbage_bag box liner plastic_bag bags duffel_bag	be aspect meaningful cost incomer facts redundant society enquiries health effectiveness inhabited division whether bell
baggage	6	0.0	baggage sport wooden_floor baggage_claim white_container two_pillows sea_weed dark_water bollard tennis_balls gym box_truck licence light_poles stirrup	names in fertile rural literature native development matters listen faith etc part right attempts should
balcony	5	0.0	balcony fire_escape deck balconies steeples building_window satellite_dish red_roof window storefronts upper_level porch second_floor train_door chimney	addresses what much elicit total theme being accept modern criterion contrast would shetland concentrated goliath
ball	8	0.0	ball tennis_ball baseball frisbee racket soccer_ball white_frisbee grip_tape flip-flops bat net balls midair letter_w freesbee	rights incomers role wider this authors theme application students debating section forum again elicit category
